DateTime,Data,Reading
2021/08/11 9:12:43 AM,3,
2021/08/11 5:35:29 AM,0,No Event
2021/08/11 2:23:34 AM,0,No Event
2021/08/11 2:10:54 AM,1,
2021/08/10 7:17:56 PM,0,No Event
2021/08/10 7:05:15 PM,1,
2021/08/10 2:09:11 PM,0,No Event
2021/08/10 1:31:42 PM,1,
2021/08/10 1:13:08 PM,0,No Event
2021/08/10 12:36:14 PM,1,
2021/08/10 12:32:03 PM,0,No Event
2021/08/10 12:07:35 PM,1,
2021/08/10 9:14:26 AM,3,
2021/08/10 8:53:13 AM,0,No Event
2021/08/10 8:40:41 AM,1,
2021/08/10 8:30:06 AM,0,No Event
2021/08/10 8:17:09 AM,1,
2021/08/09 9:15:59 AM,3,
2021/08/08 9:18:11 AM,3,
2021/08/07 9:20:22 AM,3,
2021/08/06 11:20:47 PM,0,No Event
2021/08/06 11:08:27 PM,1,
2021/08/06 5:37:19 PM,0,No Event
2021/08/06 5:25:11 PM,1,
2021/08/06 5:20:02 PM,0,No Event
2021/08/06 5:07:06 PM,1,
2021/08/06 4:15:04 PM,0,No Event
2021/08/06 3:52:33 PM,1,
2021/08/06 3:50:58 PM,0,No Event
2021/08/06 3:34:19 PM,1,
2021/08/06 3:04:54 PM,0,No Event
2021/08/06 2:49:13 PM,1,
2021/08/06 2:20:52 PM,0,No Event
2021/08/06 2:08:40 PM,1,
2021/08/06 12:41:45 PM,0,No Event
2021/08/06 12:27:51 PM,1,
2021/08/06 11:53:37 AM,0,No Event
2021/08/06 11:41:08 AM,1,
2021/08/06 10:13:30 AM,0,No Event
2021/08/06 10:00:37 AM,1,
2021/08/06 9:39:26 AM,0,No Event
2021/08/06 9:22:50 AM,3,
2021/08/06 9:20:50 AM,1,
2021/08/05 3:41:22 PM,0,No Event
2021/08/05 3:28:37 PM,1,
2021/08/05 1:58:24 PM,0,No Event
2021/08/05 1:45:36 PM,1,
2021/08/05 1:32:19 PM,0,No Event
2021/08/05 1:20:11 PM,1,
2021/08/05 12:50:10 PM,0,No Event
2021/08/05 12:36:59 PM,1,
2021/08/05 9:25:31 AM,3,
2021/08/05 8:40:20 AM,0,No Event
2021/08/05 8:27:36 AM,1,
2021/08/05 7:57:12 AM,0,No Event
2021/08/05 7:31:29 AM,1,
2021/08/05 4:49:24 AM,0,No Event
2021/08/05 4:35:43 AM,1,
2021/08/05 1:50:35 AM,0,No Event
2021/08/05 12:53:31 AM,1,
2021/08/04 11:54:29 PM,0,No Event
2021/08/04 11:41:37 PM,1,
2021/08/04 10:16:30 PM,0,No Event
2021/08/04 10:04:21 PM,1,
2021/08/04 4:47:39 PM,0,No Event
2021/08/04 4:35:28 PM,1,
2021/08/04 4:32:30 PM,0,No Event
2021/08/04 4:09:13 PM,1,
2021/08/04 3:31:26 PM,0,No Event
2021/08/04 3:12:36 PM,1,
2021/08/04 2:54:19 PM,0,No Event
2021/08/04 2:42:11 PM,1,
2021/08/04 12:36:19 PM,0,No Event
2021/08/04 12:16:29 PM,1,
2021/08/04 9:27:48 AM,3,
2021/08/04 12:13:24 AM,0,No Event
2021/08/04 12:00:34 AM,1,
2021/08/03 10:26:38 AM,0,No Event
2021/08/03 10:14:24 AM,1,
2021/08/03 9:30:12 AM,3,
2021/08/03 6:09:42 AM,0,No Event
2021/08/03 5:46:53 AM,1,
2021/08/03 5:46:40 AM,0,No Event
2021/08/03 5:33:29 AM,1,
2021/08/03 3:14:18 AM,0,No Event
2021/08/03 12:24:24 AM,0,No Event
2021/08/03 12:10:40 AM,1,
2021/08/02 7:12:40 PM,0,No Event
2021/08/02 6:49:47 PM,1,
2021/08/02 4:40:48 PM,0,No Event
2021/08/02 4:28:27 PM,1,
2021/08/02 2:33:48 PM,0,No Event
2021/08/02 1:10:08 PM,1,
2021/08/01 9:34:18 AM,3,
